vel_fl [m/s], vel_fr [m/s], vel_bl [m/s], vel_br [m/s], steer_fl [rad], steer_fr [rad], steer_bl [rad], steer_br [rad]
0,0,0,0,6.27244,6.2721,6.28318,6.28244
0,0,0,0,6.27241,6.27187,6.28318,6.28244
0,0,0,0,6.27233,6.27162,6.28318,6.28244
0,0,0,0,6.27218,6.27154,6.28318,6.28243
0,0,0,0,6.28227,6.28236,0,6.28318
0,0,0,0,6.28224,6.28214,0,6.28318
0,0,0,0,6.28221,6.28211,0,6.28318
0,0,0,0,6.28217,6.28208,0,6.28318
0,0,0,0,6.2821,6.28203,0,6.28318
0,0,0,0,6.28197,6.28196,0,6.28318
0,0,0,0,6.28177,6.28184,0,6.28318
0,0,0,0,6.28154,6.28166,0,6.28318
0,0,0,0,6.28137,6.28141,0,6.28318
0,0,0,0,6.28128,6.28123,0,6.28318
0,0,0,0,6.2812,6.28118,0,6.28318
0,0,0,0,6.28114,6.28113,0,6.28318
0,0,0,0,6.28104,6.28106,0,6.28318
0,0,0,0,6.28092,6.28096,0,6.28318
0,0,0,0,6.28076,6.28082,0,6.28317
0,0,0,0,6.28046,6.28064,0,6.28317
0,0,0,0,6.28025,6.28037,0,6.28317
0,0,0,0,6.28018,6.27999,6.28318,6.28317
0,0,0,0,6.28016,6.27987,6.28318,6.28317
0,0,0,0,6.28013,6.27987,6.28318,6.28317
0,0,0,0,6.28006,6.27986,6.28318,6.28317
0,0,0,0,6.27993,6.27983,6.28318,6.28317
0,0,0,0,6.2799,6.27982,6.28318,6.28317
