time_stamp [], traj_point [], x_pos [m], y_pos [m], heading [rad], lin_vel [m/s], ang_vel [rad/s]
0.000000000,0,3.45936,-8.99871e-06,5.7904e-07,0.3,0
0.000000000,0,3.47436,-8.99002e-06,5.7904e-07,0.3,0
0.000000000,0,3.48936,-8.98134e-06,5.7904e-07,0.3,0
0.000000000,0,3.50436,-8.97265e-06,5.7904e-07,0.3,0
0.000000000,0,3.51936,-8.96396e-06,5.7904e-07,0.3,0
0.000000000,0,3.53436,-8.95528e-06,5.7904e-07,0.3,0
0.000000000,0,3.54936,-8.94659e-06,5.7904e-07,0.3,0
0.000000000,0,3.56436,-8.93791e-06,5.7904e-07,0.3,0
0.000000000,0,3.57936,-8.92922e-06,5.7904e-07,0.3,0
0.000000000,0,3.59436,-8.92054e-06,5.7904e-07,0.3,0
0.000000000,0,3.60936,-8.91185e-06,5.7904e-07,0.3,0
0.000000000,0,3.62436,-8.90316e-06,5.7904e-07,0.3,0
0.000000000,0,3.63936,-8.89448e-06,5.7904e-07,0.3,0
0.000000000,0,3.65436,-8.88579e-06,5.7904e-07,0.3,0
0.000000000,0,3.66936,-8.87711e-06,5.7904e-07,0.3,0
0.000000000,0,3.68436,-8.86842e-06,5.7904e-07,0.3,0
0.000000000,0,3.69936,-8.85974e-06,5.7904e-07,0.3,0
0.000000000,0,3.71436,-8.85105e-06,5.7904e-07,0.3,0
0.000000000,0,3.72936,-8.84236e-06,5.7904e-07,0.3,0
0.000000000,0,3.74436,-8.83368e-06,5.7904e-07,0.3,0
0.000000000,0,3.75936,-8.82499e-06,5.7904e-07,0.3,0
0.000000000,0,3.77436,-8.81631e-06,5.7904e-07,0.3,0
0.000000000,0,3.78936,-8.80762e-06,5.7904e-07,0.3,0
0.000000000,0,3.80436,-8.79894e-06,5.7904e-07,0.3,0
0.000000000,0,3.81936,-8.79025e-06,5.7904e-07,0.3,0
0.000000000,0,3.83436,-8.78157e-06,5.7904e-07,0.3,0
0.000000000,0,3.84936,-8.77288e-06,5.7904e-07,0.3,0
0.000000000,0,3.86436,-8.76419e-06,5.7904e-07,0.3,0
0.000000000,0,3.87936,-8.75551e-06,5.7904e-07,0.3,0
0.000000000,0,3.89436,-8.74682e-06,5.7904e-07,0.3,0
0.000000000,0,3.90936,-8.73814e-06,5.7904e-07,0.3,0
0.000000000,0,3.92436,-8.72945e-06,5.7904e-07,0.3,0
0.000000000,0,3.93936,-8.72077e-06,5.7904e-07,0.3,0
0.000000000,0,3.95436,-8.71208e-06,5.7904e-07,0.3,0
0.000000000,0,3.96936,-8.70339e-06,5.7904e-07,0.3,0
0.000000000,0,3.98436,-8.69471e-06,5.7904e-07,0.3,0
0.000000000,0,3.99936,-8.68602e-06,5.7904e-07,0.3,0
0.000000000,0,4.01436,-8.67734e-06,5.7904e-07,0.3,0
0.000000000,0,4.02936,-8.66865e-06,5.7904e-07,0.3,0
0.000000000,0,4.04436,-8.65997e-06,5.7904e-07,0.3,0
0.000000000,0,4.05936,-8.65128e-06,5.7904e-07,0.3,0
0.000000000,0,4.07436,-8.6426e-06,5.7904e-07,0.3,0
0.000000000,0,4.08936,-8.63391e-06,5.7904e-07,0.3,0
0.000000000,0,4.10436,-8.62522e-06,5.7904e-07,0.3,0
0.000000000,0,4.11936,-8.61654e-06,5.7904e-07,0.3,0
0.000000000,0,4.13436,-8.60785e-06,5.7904e-07,0.3,0
0.000000000,0,4.14936,-8.59917e-06,5.7904e-07,0.3,0
0.000000000,0,4.16436,-8.59048e-06,5.7904e-07,0.3,0
0.000000000,0,4.17936,-8.5818e-06,5.7904e-07,0.3,0
0.000000000,0,4.19436,-8.57311e-06,5.7904e-07,0.3,0
0.000000000,0,4.20936,-8.56442e-06,5.7904e-07,0.3,0
0.000000000,0,4.22436,-8.55574e-06,5.7904e-07,0.3,0
0.000000000,0,4.23936,-8.54705e-06,5.7904e-07,0.3,0
0.000000000,0,4.25436,-8.53837e-06,5.7904e-07,0.3,0
0.000000000,0,4.26936,-8.52968e-06,5.7904e-07,0.3,0
0.000000000,0,4.28436,-8.521e-06,5.7904e-07,0.3,0
0.000000000,0,4.29936,-8.51231e-06,5.7904e-07,0.3,0
0.000000000,0,4.31436,-8.50362e-06,5.7904e-07,0.3,0
0.000000000,0,4.32936,-8.49494e-06,5.7904e-07,0.3,0
0.000000000,0,4.34436,-8.48625e-06,5.7904e-07,0.3,0
0.000000000,0,4.35936,-8.47757e-06,5.7904e-07,0.3,0
0.000000000,0,4.37436,-8.46888e-06,5.7904e-07,0.3,0
0.000000000,0,4.38936,-8.4602e-06,5.7904e-07,0.3,0
0.000000000,0,4.40436,-8.45151e-06,5.7904e-07,0.3,0
0.000000000,0,4.41936,-8.44282e-06,5.7904e-07,0.3,0
0.000000000,0,4.43436,-8.43414e-06,5.7904e-07,0.3,0
0.000000000,0,4.44936,-8.42545e-06,5.7904e-07,0.3,0
0.000000000,0,4.46436,-8.41677e-06,5.7904e-07,0.3,0
0.000000000,0,4.47936,-8.40808e-06,5.7904e-07,0.3,0
0.000000000,0,4.49436,-8.3994e-06,5.7904e-07,0.3,0
0.000000000,0,4.50936,-8.39071e-06,5.7904e-07,0.3,0
0.000000000,0,4.52436,-8.38203e-06,5.7904e-07,0.3,0
0.000000000,0,4.53936,-8.37334e-06,5.7904e-07,0.3,0
0.000000000,0,4.55436,-8.36465e-06,5.7904e-07,0.3,0
0.000000000,0,4.56936,-8.35597e-06,5.7904e-07,0.3,0
0.000000000,0,4.58436,-8.34728e-06,5.7904e-07,0.3,0
0.000000000,0,4.59936,-8.3386e-06,5.7904e-07,0.3,0
0.000000000,0,4.61436,-8.32991e-06,5.7904e-07,0.3,0
0.000000000,0,4.62936,-8.32123e-06,5.7904e-07,0.3,0
0.000000000,0,4.64436,-8.31254e-06,5.7904e-07,0.3,0
0.000000000,0,4.65936,-8.30385e-06,5.7904e-07,0.3,0
0.000000000,0,4.67436,-8.29517e-06,5.7904e-07,0.3,0
0.000000000,0,4.68936,-8.28648e-06,5.7904e-07,0.3,0
0.000000000,0,4.70436,-8.2778e-06,5.7904e-07,0.3,0
0.000000000,0,4.71936,-8.26911e-06,5.7904e-07,0.3,0
0.000000000,0,4.73436,-8.26043e-06,5.7904e-07,0.3,0
0.000000000,0,4.74936,-8.25174e-06,5.7904e-07,0.3,0
0.000000000,0,4.76436,-8.24306e-06,5.7904e-07,0.3,0
0.000000000,0,4.77936,-8.23437e-06,5.7904e-07,0.3,0
0.000000000,0,4.79436,-8.22568e-06,5.7904e-07,0.3,0
0.000000000,0,4.80936,-8.217e-06,5.7904e-07,0.3,0
0.000000000,0,4.82436,-8.20831e-06,5.7904e-07,0.3,0
0.000000000,0,4.83936,-8.19963e-06,5.7904e-07,0.3,0
0.000000000,0,4.85436,-8.19094e-06,5.7904e-07,0.3,0
0.000000000,0,4.86936,-8.18226e-06,5.7904e-07,0.3,0
0.000000000,0,4.88436,-8.17357e-06,5.7904e-07,0.3,0
0.000000000,0,4.89936,-8.16488e-06,5.7904e-07,0.3,0
0.000000000,0,4.91436,-8.1562e-06,5.7904e-07,0.3,0
0.000000000,0,4.92936,-8.14751e-06,5.7904e-07,0.3,0
0.000000000,0,4.94436,-8.13883e-06,5.7904e-07,0.3,0
0.000000000,0,4.95936,-8.13014e-06,5.7904e-07,0.3,0
0.000000000,0,4.97436,-8.12146e-06,5.7904e-07,0.3,0
0.000000000,0,4.98936,-8.11277e-06,5.7904e-07,0.3,0
0.000000000,0,5.00436,-8.10408e-06,5.7904e-07,0.3,0
0.000000000,0,5.01936,-8.0954e-06,5.7904e-07,0.3,0
0.000000000,0,5.03436,-8.08671e-06,5.7904e-07,0.3,0
0.000000000,0,5.04936,-8.07803e-06,5.7904e-07,0.3,0
0.000000000,0,5.06436,-8.06934e-06,5.7904e-07,0.3,0
0.000000000,0,5.07936,-8.06066e-06,5.7904e-07,0.3,0
0.000000000,0,5.09436,-8.05197e-06,5.7904e-07,0.3,0
0.000000000,0,5.10936,-8.04328e-06,5.7904e-07,0.3,0
0.000000000,0,5.12436,-8.0346e-06,5.7904e-07,0.3,0
